workerid,proliferate.condition,Condition_Item,chance,error
118,Default Condition,14_4,30,
118,Default Condition,5_4,44,
118,Default Condition,21_4,23,
118,Default Condition,52_filler,0,
118,Default Condition,9_4,79,
118,Default Condition,49_filler,0,
118,Default Condition,54_filler,100,
118,Default Condition,17_4,29,
118,Default Condition,47_filler,100,
118,Default Condition,25_4,23,
118,Default Condition,33_filler,0,
118,Default Condition,56_filler,100,
118,Default Condition,34_filler,0,
118,Default Condition,22_4,26,
118,Default Condition,11_4,20,
118,Default Condition,32_4,24,
118,Default Condition,44_filler,0,
118,Default Condition,30_4,64,
118,Default Condition,20_4,30,
118,Default Condition,13_4,61,
118,Default Condition,46_filler,100,
118,Default Condition,16_4,5,
118,Default Condition,38_filler,100,
118,Default Condition,3_4,29,
118,Default Condition,7_4,17,
118,Default Condition,12_4,3,
118,Default Condition,27_4,44,
118,Default Condition,24_4,18,
118,Default Condition,55_filler,100,
118,Default Condition,40_filler,100,
118,Default Condition,42_filler,0,
118,Default Condition,2_4,60,
118,Default Condition,19_4,69,
118,Default Condition,43_filler,0,
118,Default Condition,37_filler,100,
118,Default Condition,39_filler,100,
118,Default Condition,18_4,30,
118,Default Condition,36_filler,0,
118,Default Condition,26_4,56,
118,Default Condition,10_4,26,
118,Default Condition,41_filler,0,
118,Default Condition,35_filler,0,
118,Default Condition,4_4,19,
118,Default Condition,48_filler,100,
118,Default Condition,45_filler,100,
118,Default Condition,15_4,23,
118,Default Condition,31_4,33,
118,Default Condition,51_filler,0,
118,Default Condition,50_filler,0,
118,Default Condition,53_filler,100,
118,Default Condition,6_4,96,
118,Default Condition,28_4,25,
118,Default Condition,8_4,17,
118,Default Condition,1_4,80,
118,Default Condition,29_4,10,
118,Default Condition,23_4,8,
